Time (s);Temperature (C);Temp setpoint (C);Temp error (C);Temp PID output;Temp Kp;Temp Ki;Temp Kd;Diameter (mm);Diameter raw (mm);Diameter setpoint (mm);Fan duty (%);Extruder RPM;Spooler setpoint (RPM);Spooler RPM;Spooler Kp;Spooler Ki;Spooler Kd
0,0258;83,5565;90,0000;5,7082;7,1118;1,0000;0,0010;0,0500;0,3194;0,3088;0,3500;5,0000;0,3000;30,0000;30,9679;0,5000;0,5000;0,0500
0,0466;83,5565;90,0000;5,7082;7,1118;1,0000;0,0010;0,0500;0,3194;0,3088;0,3500;5,0000;0,3000;30,0000;30,9679;0,5000;0,5000;0,0500
0,0744;83,5565;90,0000;5,7082;7,1118;1,0000;0,0010;0,0500;0,3194;0,3088;0,3500;5,0000;0,3000;30,0000;30,9679;0,5000;0,5000;0,0500
0,1012;83,5565;90,0000;5,7082;7,0636;1,0000;0,0010;0,0500;0,3194;0,3088;0,3500;5,0000;0,3000;30,0000;30,1297;0,5000;0,5000;0,0500
0,1242;83,5565;90,0000;5,7082;7,0636;1,0000;0,0010;0,0500;0,3194;0,3088;0,3500;5,0000;0,3000;30,0000;30,1297;0,5000;0,5000;0,0500
0,1508;83,5565;90,0000;5,7082;7,0636;1,0000;0,0010;0,0500;0,3194;0,3088;0,3500;5,0000;0,3000;30,0000;30,1297;0,5000;0,5000;0,0500
0,1773;83,5565;90,0000;5,7082;7,0636;1,0000;0,0010;0,0500;0,3194;0,3088;0,3500;5,0000;0,3000;30,0000;30,1297;0,5000;0,5000;0,0500
0,1977;83,5565;90,0000;5,7082;7,0636;1,0000;0,0010;0,0500;0,3194;0,3088;0,3500;5,0000;0,3000;30,0000;30,1297;0,5000;0,5000;0,0500
0,2221;84,2541;90,0000;5,6384;6,9606;1,0000;0,0010;0,0500;0,3194;0,3088;0,3500;5,0000;0,3000;30,0000;29,9677;0,5000;0,5000;0,0500
0,2461;84,2541;90,0000;5,6384;6,9606;1,0000;0,0010;0,0500;0,3194;0,3088;0,3500;5,0000;0,3000;30,0000;29,9677;0,5000;0,5000;0,0500
0,2662;84,2541;90,0000;5,6384;6,9606;1,0000;0,0010;0,0500;0,3159;0,2982;0,3500;5,0000;0,3000;30,0000;29,9677;0,5000;0,5000;0,0500
0,2882;84,2541;90,0000;5,6384;6,9606;1,0000;0,0010;0,0500;0,3159;0,2982;0,3500;5,0000;0,3000;30,0000;29,9677;0,5000;0,5000;0,0500
