Time (s);Heater voltage (V);Heater current (A);Spooler voltage (V);Spooler current (A);Extruder voltage (V);Extruder current (A);Event
0,0000;12,006;0,246;11,982;0,299;11,980;0,600;
0,1000;11,990;0,269;12,010;0,304;12,002;0,596;
0,2000;12,014;0,254;11,991;0,300;11,974;0,593;
0,3000;11,975;0,266;12,003;0,308;11,950;0,598;
0,4000;12,002;0,266;11,990;0,307;11,984;0,604;
0,5000;11,999;0,274;11,988;0,310;12,002;0,600;
0,6000;12,002;0,277;11,969;0,312;12,002;0,597;
0,7000;12,015;0,312;12,001;0,310;11,996;0,603;
0,8000;12,013;0,303;11,986;0,306;11,991;0,601;
0,9000;11,988;0,284;12,018;0,307;11,974;0,597;
1,0000;11,960;0,311;11,998;0,304;12,014;0,599;
1,1000;11,995;0,311;11,991;0,296;12,007;0,600;
1,2000;11,978;0,308;11,991;0,298;12,013;0,600;
1,3000;11,993;0,326;12,000;0,294;11,974;0,601;
1,4000;11,959;0,289;11,982;0,291;12,045;0,597;
1,5000;12,004;0,308;11,996;0,289;12,014;0,602;
1,6000;11,998;0,300;11,979;0,291;11,983;0,604;
1,7000;12,002;0,312;11,998;0,286;11,977;0,601;
1,8000;12,017;0,273;12,015;0,292;12,016;0,601;
1,9000;12,025;0,295;11,999;0,296;11,997;0,596;
2,0000;11,989;0,319;11,984;0,298;11,974;0,605;RUN_START
2,1000;12,019;0,299;11,986;0,302;11,989;0,600;
2,2000;11,994;0,285;11,984;0,311;11,987;0,596;
2,3000;12,028;0,289;11,996;0,306;11,965;0,603;
2,4000;12,001;0,282;12,009;0,308;11,997;0,596;
2,5000;12,027;0,262;12,006;0,310;11,991;0,598;
2,6000;11,994;0,282;12,000;0,313;12,014;0,602;
2,7000;11,972;0,265;12,019;0,308;12,011;0,603;
2,8000;12,018;0,270;12,030;0,302;12,017;0,602;
2,9000;12,038;0,273;11,977;0,298;12,016;0,596;
3,0000;12,017;0,239;11,958;0,301;12,001;0,599;
3,1000;11,983;0,234;11,997;0,294;11,967;0,602;
3,2000;12,008;0,228;11,987;0,291;11,982;0,601;
3,3000;12,007;0,218;12,041;0,288;12,018;0,600;
3,4000;11,971;0,218;12,015;0,290;12,002;0,599;
3,5000;12,000;0,219;11,986;0,284;11,935;0,598;
3,6000;12,001;0,220;11,981;0,294;12,003;0,600;
3,7000;12,001;0,207;12,011;0,293;11,979;0,602;
3,8000;12,022;0,183;11,997;0,294;11,974;0,607;
3,9000;11,991;0,217;12,008;0,289;12,005;0,600;
4,0000;11,978;0,190;11,996;0,304;12,007;0,600;
4,1000;11,989;0,205;11,964;0,308;12,019;0,604;
4,2000;12,002;0,195;11,995;0,305;12,001;0,606;
4,3000;11,999;0,187;11,987;0,313;12,010;0,600;
4,4000;11,978;0,177;12,017;0,308;11,995;0,599;
4,5000;11,968;0,182;11,983;0,313;11,985;0,602;
